Output format is aligned.
Border style is 2.
Null display is "(null)".
== Global stattype distribution (all years, all 4 tables combined) ==
+----------+----------+---------+
| stattype |    n     |   pct   |
+----------+----------+---------+
| value    | 11865906 | 98.9303 |
| official |   122284 |  1.0195 |
| lower    |     4925 |  0.0411 |
| upper    |     1099 |  0.0092 |
+----------+----------+---------+
(4 rows)


== Per-table stattype distribution ==
+-----------+----------+---------+---------+
|    tbl    | stattype |    n    |   pct   |
+-----------+----------+---------+---------+
| batting   | value    | 5360162 | 99.3253 |
| batting   | official |   32250 |  0.5976 |
| batting   | lower    |    4155 |  0.0770 |
| batting   | upper    |       8 |  0.0001 |
| fielding  | value    | 4918650 | 99.7051 |
| fielding  | official |   14180 |  0.2874 |
| fielding  | lower    |     198 |  0.0040 |
| fielding  | upper    |     171 |  0.0035 |
| pitching  | value    | 1168472 | 97.4201 |
| pitching  | official |   30005 |  2.5016 |
| pitching  | upper    |     699 |  0.0583 |
| pitching  | lower    |     240 |  0.0200 |
| teamstats | value    |  418622 | 90.0216 |
| teamstats | official |   45849 |  9.8595 |
| teamstats | lower    |     332 |  0.0714 |
| teamstats | upper    |     221 |  0.0475 |
+-----------+----------+---------+---------+
(16 rows)


== Per-year non-value rate (batting) — surface only years with any non-value rows ==
+------+-------------+---------+---------------+
|  yr  | non_value_n | total_n | non_value_pct |
+------+-------------+---------+---------------+
| 1907 |         190 |   24645 |        0.7709 |
| 1908 |         174 |   25548 |        0.6811 |
| 1909 |         266 |   25834 |        1.0297 |
| 1910 |         243 |   26159 |        0.9289 |
| 1911 |         308 |   26571 |        1.1592 |
| 1912 |         497 |   26818 |        1.8532 |
| 1913 |         807 |   28359 |        2.8457 |
| 1914 |        1322 |   42373 |        3.1199 |
| 1915 |        1036 |   41471 |        2.4981 |
| 1916 |         633 |   28582 |        2.2147 |
| 1917 |         649 |   27932 |        2.3235 |
| 1918 |         448 |   21779 |        2.0570 |
| 1919 |         489 |   24409 |        2.0034 |
| 1920 |        1354 |   28116 |        4.8158 |
| 1921 |        1328 |   29119 |        4.5606 |
| 1922 |        1185 |   28677 |        4.1322 |
| 1923 |        1231 |   28950 |        4.2522 |
| 1924 |        1239 |   29388 |        4.2160 |
| 1925 |         878 |   29796 |        2.9467 |
| 1926 |         868 |   30195 |        2.8746 |
| 1927 |         591 |   29356 |        2.0132 |
| 1928 |         834 |   29298 |        2.8466 |
| 1929 |         930 |   29449 |        3.1580 |
| 1930 |         566 |   29861 |        1.8954 |
| 1931 |         433 |   28735 |        1.5069 |
| 1932 |         400 |   28641 |        1.3966 |
| 1933 |         763 |   28956 |        2.6350 |
| 1934 |         457 |   28826 |        1.5854 |
| 1935 |         562 |   28814 |        1.9504 |
| 1936 |         549 |   28893 |        1.9001 |
| 1937 |         555 |   31045 |        1.7877 |
| 1938 |         623 |   31359 |        1.9867 |
| 1939 |         612 |   34714 |        1.7630 |
| 1940 |         623 |   35242 |        1.7678 |
| 1941 |         585 |   34654 |        1.6881 |
| 1942 |         780 |   35478 |        2.1985 |
| 1943 |         971 |   36095 |        2.6901 |
| 1944 |         796 |   36273 |        2.1945 |
| 1945 |         817 |   35890 |        2.2764 |
| 1946 |         860 |   38601 |        2.2279 |
| 1947 |         868 |   38053 |        2.2810 |
| 1948 |         823 |   37868 |        2.1733 |
| 1949 |         737 |   35365 |        2.0840 |
| 1950 |         407 |   29970 |        1.3580 |
| 1951 |         400 |   30530 |        1.3102 |
| 1952 |         295 |   30186 |        0.9773 |
| 1953 |         357 |   31014 |        1.1511 |
| 1954 |         423 |   31074 |        1.3613 |
| 1955 |         323 |   31698 |        1.0190 |
| 1956 |         303 |   32059 |        0.9451 |
| 1957 |         274 |   32166 |        0.8518 |
| 1958 |         259 |   32377 |        0.8000 |
| 1959 |         295 |   32348 |        0.9120 |
| 1960 |         294 |   32818 |        0.8958 |
| 1961 |         271 |   36847 |        0.7355 |
| 1962 |         286 |   42187 |        0.6779 |
| 1963 |         150 |   41076 |        0.3652 |
| 1964 |         181 |   41830 |        0.4327 |
| 1965 |         115 |   42727 |        0.2692 |
| 1966 |         106 |   42043 |        0.2521 |
| 1967 |         100 |   42233 |        0.2368 |
| 1968 |          72 |   41282 |        0.1744 |
| 1969 |         198 |   50737 |        0.3902 |
| 1970 |          72 |   51040 |        0.1411 |
| 1971 |          58 |   49415 |        0.1174 |
| 1972 |          67 |   47668 |        0.1406 |
| 1973 |          51 |   50732 |        0.1005 |
| 1974 |          26 |   51623 |        0.0504 |
| 1975 |          43 |   51128 |        0.0841 |
| 1976 |          40 |   50831 |        0.0787 |
| 1977 |          17 |   56251 |        0.0302 |
| 1978 |          17 |   55484 |        0.0306 |
| 1979 |          18 |   55597 |        0.0324 |
| 1980 |           7 |   56804 |        0.0123 |
| 1981 |           8 |   38660 |        0.0207 |
+------+-------------+---------+---------------+
(75 rows)


== Per-year non-value rate (pitching) ==
+------+-------------+---------+---------------+
|  yr  | non_value_n | total_n | non_value_pct |
+------+-------------+---------+---------------+
| 1907 |         147 |    3376 |        4.3543 |
| 1908 |         225 |    3718 |        6.0516 |
| 1909 |         238 |    3803 |        6.2582 |
| 1910 |         200 |    3913 |        5.1112 |
| 1911 |         272 |    4134 |        6.5796 |
| 1912 |         756 |    4621 |       16.3601 |
| 1913 |         861 |    4981 |       17.2857 |
| 1914 |        1457 |    7532 |       19.3441 |
| 1915 |        1103 |    7122 |       15.4872 |
| 1916 |         672 |    4927 |       13.6391 |
| 1917 |         761 |    4863 |       15.6488 |
| 1918 |         883 |    3936 |       22.4339 |
| 1919 |        1300 |    4858 |       26.7600 |
| 1920 |        1467 |    5512 |       26.6147 |
| 1921 |         715 |    5106 |       14.0031 |
| 1922 |         849 |    5305 |       16.0038 |
| 1923 |         833 |    5315 |       15.6726 |
| 1924 |         908 |    5499 |       16.5121 |
| 1925 |         494 |    5143 |        9.6053 |
| 1926 |         573 |    5309 |       10.7930 |
| 1927 |         455 |    5052 |        9.0063 |
| 1928 |         839 |    5412 |       15.5026 |
| 1929 |         670 |    5328 |       12.5751 |
| 1930 |         583 |    5463 |       10.6718 |
| 1931 |         555 |    5149 |       10.7788 |
| 1932 |         438 |    5122 |        8.5513 |
| 1933 |         354 |    5042 |        7.0210 |
| 1934 |         363 |    5279 |        6.8763 |
| 1935 |         363 |    5225 |        6.9474 |
| 1936 |         363 |    5227 |        6.9447 |
| 1937 |         441 |    5793 |        7.6126 |
| 1938 |         448 |    5895 |        7.5997 |
| 1939 |         354 |    6357 |        5.5687 |
| 1940 |         360 |    6465 |        5.5684 |
| 1941 |         365 |    6291 |        5.8019 |
| 1942 |         453 |    6477 |        6.9940 |
| 1943 |         514 |    6683 |        7.6912 |
| 1944 |         518 |    6799 |        7.6188 |
| 1945 |         474 |    6666 |        7.1107 |
| 1946 |         572 |    7567 |        7.5591 |
| 1947 |         813 |    7809 |       10.4111 |
| 1948 |         711 |    7843 |        9.0654 |
| 1949 |         705 |    7192 |        9.8026 |
| 1950 |         447 |    5726 |        7.8065 |
| 1951 |         359 |    5734 |        6.2609 |
| 1952 |         294 |    5592 |        5.2575 |
| 1953 |         314 |    5949 |        5.2782 |
| 1954 |         312 |    5941 |        5.2516 |
| 1955 |         308 |    6304 |        4.8858 |
| 1956 |         340 |    6319 |        5.3806 |
| 1957 |         152 |    6217 |        2.4449 |
| 1958 |         179 |    6252 |        2.8631 |
| 1959 |         179 |    6166 |        2.9030 |
| 1960 |         143 |    6286 |        2.2749 |
| 1961 |         101 |    7141 |        1.4144 |
| 1962 |         232 |    8565 |        2.7087 |
| 1963 |         117 |    8188 |        1.4289 |
| 1964 |         107 |    8534 |        1.2538 |
| 1965 |          82 |    8723 |        0.9400 |
| 1966 |          95 |    8625 |        1.1014 |
| 1967 |          83 |    8565 |        0.9691 |
| 1968 |          45 |    8134 |        0.5532 |
| 1969 |         117 |   10302 |        1.1357 |
| 1970 |          87 |   10519 |        0.8271 |
| 1971 |          55 |    9796 |        0.5615 |
| 1972 |          72 |    9318 |        0.7727 |
| 1973 |          87 |    9407 |        0.9248 |
| 1974 |          29 |    9430 |        0.3075 |
| 1975 |          70 |    9441 |        0.7414 |
| 1976 |          23 |    9460 |        0.2431 |
| 1977 |          41 |   10756 |        0.3812 |
| 1978 |          20 |   10198 |        0.1961 |
| 1979 |           8 |   10682 |        0.0749 |
| 1980 |          16 |   10902 |        0.1468 |
| 1981 |           4 |    7638 |        0.0524 |
