Output format is aligned.
Border style is 2.
Null display is "(null)".
== Per-year regular-season game count ==
+------+---------------+
|  yr  | regular_games |
+------+---------------+
| 1907 |          1233 |
| 1908 |          1244 |
| 1909 |          1241 |
| 1910 |          1249 |
| 1911 |          1237 |
| 1912 |          1232 |
| 1913 |          1234 |
| 1914 |          1879 |
| 1915 |          1864 |
| 1916 |          1247 |
| 1917 |          1247 |
| 1918 |          1016 |
| 1919 |          1118 |
| 1920 |          1235 |
| 1921 |          1247 |
| 1922 |          1239 |
| 1923 |          1234 |
| 1924 |          1237 |
| 1925 |          1231 |
| 1926 |          1235 |
| 1927 |          1242 |
| 1928 |          1232 |
| 1929 |          1235 |
| 1930 |          1234 |
| 1931 |          1237 |
| 1932 |          1234 |
| 1933 |          1228 |
| 1934 |          1223 |
| 1935 |          1228 |
| 1936 |          1238 |
| 1937 |          1392 |
| 1938 |          1399 |
| 1939 |          1507 |
| 1940 |          1522 |
| 1941 |          1510 |
| 1942 |          1475 |
| 1943 |          1564 |
| 1944 |          1631 |
| 1945 |          1579 |
| 1946 |          1647 |
| 1947 |          1683 |
| 1948 |          1660 |
| 1949 |          1610 |
| 1950 |          1238 |
| 1951 |          1236 |
| 1952 |          1239 |
| 1953 |          1240 |
| 1954 |          1236 |
| 1955 |          1234 |
| 1956 |          1239 |
| 1957 |          1235 |
| 1958 |          1235 |
| 1959 |          1236 |
| 1960 |          1236 |
| 1961 |          1430 |
| 1962 |          1618 |
| 1963 |          1619 |
| 1964 |          1626 |
| 1965 |          1623 |
| 1966 |          1615 |
| 1967 |          1620 |
| 1968 |          1625 |
| 1969 |          1946 |
| 1970 |          1944 |
| 1971 |          1938 |
| 1972 |          1859 |
| 1973 |          1943 |
| 1974 |          1945 |
| 1975 |          1934 |
| 1976 |          1939 |
| 1977 |          2103 |
| 1978 |          2101 |
| 1979 |          2098 |
| 1980 |          2104 |
| 1981 |          1394 |
| 1982 |          2107 |
| 1983 |          2109 |
| 1984 |          2105 |
| 1985 |          2103 |
| 1986 |          2103 |
| 1987 |          2105 |
| 1988 |          2100 |
| 1989 |          2106 |
| 1990 |          2105 |
| 1991 |          2104 |
| 1992 |          2106 |
| 1993 |          2269 |
| 1994 |          1600 |
| 1995 |          2016 |
| 1996 |          2267 |
| 1997 |          2266 |
| 1998 |          2431 |
| 1999 |          2427 |
| 2000 |          2429 |
| 2001 |          2429 |
| 2002 |          2426 |
