 hr_number | game_date  | opposing_team |               ballpark_name               | inning |    pitcher_name    | ball_strike | runners_on 
-----------+------------+---------------+-------------------------------------------+--------+--------------------+-------------+------------
         1 | 1998-03-31 | LAN           | Busch Stadium II                          |      5 | Ramon Martinez     | 10          | grand slam
         2 | 1998-04-02 | LAN           | Busch Stadium II                          |     12 | Frank Lankford     | 01          | 3-run
         3 | 1998-04-03 | SDN           | Busch Stadium II                          |      5 | Mark Langston      | 32          | 2-run
         4 | 1998-04-04 | SDN           | Busch Stadium II                          |      6 | Don Wengert        | 21          | 3-run
         5 | 1998-04-14 | ARI           | Busch Stadium II                          |      3 | Jeff Suppan        | 12          | 2-run
         6 | 1998-04-14 | ARI           | Busch Stadium II                          |      5 | Jeff Suppan        | 11          | solo
         7 | 1998-04-14 | ARI           | Busch Stadium II                          |      8 | Barry Manuel       | 20          | 2-run
         8 | 1998-04-17 | PHI           | Busch Stadium II                          |      4 | Matt Whiteside     | 22          | 2-run
         9 | 1998-04-21 | MON           | Stade Olympique                           |      3 | Trey Moore         | 00          | 2-run
        10 | 1998-04-25 | PHI           | Veterans Stadium                          |      7 | Jerry Spradlin     | 12          | 2-run
        11 | 1998-04-30 | CHN           | Wrigley Field                             |      8 | Marc Pisciotta     | 21          | 2-run
        12 | 1998-05-01 | CHN           | Wrigley Field                             |      9 | Rod Beck           | 12          | 2-run
        13 | 1998-05-08 | NYN           | Shea Stadium                              |      3 | Rick Reed          | 02          | 2-run
        14 | 1998-05-12 | MIL           | Busch Stadium II                          |      5 | Paul Wagner        | 12          | 3-run
        15 | 1998-05-14 | ATL           | Busch Stadium II                          |      4 | Kevin Millwood     | 11          | solo
        16 | 1998-05-16 | FLO           | Busch Stadium II                          |      4 | Livan Hernandez    | 10          | solo
        17 | 1998-05-18 | FLO           | Busch Stadium II                          |      4 | Jesus Sanchez      | 20          | solo
        18 | 1998-05-19 | PHI           | Veterans Stadium                          |      3 | Tyler Green        | 20          | 2-run
        19 | 1998-05-19 | PHI           | Veterans Stadium                          |      5 | Tyler Green        | 02          | 2-run
        20 | 1998-05-19 | PHI           | Veterans Stadium                          |      8 | Wayne Gomes        | 00          | 2-run
        21 | 1998-05-22 | SFN           | Busch Stadium II                          |      6 | Mark Gardner       | 11          | 2-run
        22 | 1998-05-23 | SFN           | Busch Stadium II                          |      4 | Rich Rodriguez     | 10          | solo
        23 | 1998-05-23 | SFN           | Busch Stadium II                          |      5 | John Johnstone     | 22          | 3-run
        24 | 1998-05-24 | SFN           | Busch Stadium II                          |     12 | Robb Nen           | 22          | 2-run
        25 | 1998-05-25 | COL           | Busch Stadium II                          |      1 | John Thomson       | 22          | solo
        26 | 1998-05-29 | SDN           | Qualcomm Stadium                          |      9 | Dan Miceli         | 00          | 2-run
        27 | 1998-05-30 | SDN           | Qualcomm Stadium                          |      1 | Andy Ashby         | 01          | solo
        28 | 1998-06-05 | SFN           | Busch Stadium II                          |      1 | Orel Hershiser     | 12          | 2-run
        29 | 1998-06-08 | CHA           | Guaranteed Rate Field;U.S. Cellular Field |      4 | Jason Bere         | 00          | 2-run
        30 | 1998-06-10 | CHA           | Guaranteed Rate Field;U.S. Cellular Field |      3 | Jim Parque         | 10          | 3-run
        31 | 1998-06-12 | ARI           | Chase Field                               |      3 | Andy Benes         | 10          | grand slam
        32 | 1998-06-17 | HOU           | Astrodome                                 |      3 | Jose Lima          | 12          | solo
        33 | 1998-06-18 | HOU           | Astrodome                                 |      5 | Shane Reynolds     | 11          | solo
        34 | 1998-06-24 | CLE           | Progressive Field                         |      4 | Jaret Wright       | 11          | solo
        35 | 1998-06-25 | CLE           | Progressive Field                         |      1 | Dave Burba         | 22          | solo
